Index,Country,GDP (USD Trillions),Unemployment Rate (%),Inflation Rate (%)
1,Afghanistan,0.02,11.1,3.4
2,Albania,0.02,11.5,4.5
3,Algeria,0.17,12.3,8.9
4,Andorra,0.003,3.7,2.1
5,Angola,0.1,18.2,16.5
6,Antigua and Barbuda,0.002,11.0,3.5
7,Argentina,0.49,8.7,10.9
8,Armenia,0.01,10.5,5.5
9,Australia,1.6,5.2,1.8
10,Austria,0.45,5.6,2.0
11,Azerbaijan,0.05,9.5,4.2
12,Bahamas,0.011,13.5,5.2
13,Bahrain,0.038,4.2,1.4
14,Bangladesh,0.3,9.5,5.4
15,Barbados,0.005,8.4,4.0
16,Belarus,0.08,5.4,3.8
17,Belgium,0.52,6.1,2.1
18,Belize,0.002,10.2,2.7
19,Benin,0.014,2.3,1.7
20,Bhutan,0.002,2.4,3.3
21,Bolivia,0.04,4.1,1.8
22,Bosnia and Herzegovina,0.02,11.7,2.6
23,Botswana,0.016,18.2,3.0
24,Brazil,1.5,9.2,3.7
25,Brunei,0.014,6.9,1.2
26,Bulgaria,0.07,5.4,3.6
27,Burkina Faso,0.014,6.0,2.5
28,Burundi,0.003,1.8,7.6
29,Cambodia,0.03,0.3,3.1
30,Cameroon,0.039,3.3,2.9
31,Canada,2.09,5.0,3.1
32,Cape Verde,0.002,12.2,1.8
33,Central African Republic,0.002,6.0,4.8
34,Chad,0.011,6.6,5.4
35,Chile,0.33,7.1,2.7
36,China,19.37,5.2,2.1
37,Colombia,0.32,11.4,3.3
38,Comoros,0.001,4.3,1.7
39,"Congo, Democratic Republic of the",0.05,4.2,3.8
40,"Congo, Republic of the",0.009,10.0,2.9
41,Costa Rica,0.06,11.0,2.6
42,Croatia,0.06,7.5,1.9
43,Cuba,0.1,2.4,5.0
44,Cyprus,0.03,6.6,0.5
45,Czech Republic,0.25,3.2,2.6
46,Denmark,0.39,4.2,1.0
47,Djibouti,0.003,11.0,2.2
48,Dominica,0.001,23.0,1.4
49,Dominican Republic,0.1,6.4,4.2
50,Ecuador,0.11,5.0,2.0
51,Egypt,0.37,9.6,5.8
52,El Salvador,0.03,7.0,1.5
53,Equatorial Guinea,0.01,9.2,3.2
54,Eritrea,0.005,7.5,6.0
55,Estonia,0.04,5.8,2.4
56,Eswatini,0.004,23.4,4.7
57,Ethiopia,0.11,19.1,2.5
58,Fiji,0.004,4.5,3.0
59,Finland,0.31,7.4,0.9
60,France,3.03,7.0,3.5
61,Gabon,0.02,20.4,2.6
62,Gambia,0.002,8.9,6.1
63,Georgia,0.02,12.1,6.0
64,Germany,4.16,5.4,2.7
65,Ghana,0.07,6.5,8.6
66,Greece,0.22,16.7,0.6
67,Grenada,0.001,24.0,2.5
68,Guatemala,0.07,2.4,2.2
69,Guinea,0.015,4.5,10.3
70,Guinea-Bissau,0.001,6.8,1.8
71,Guyana,0.006,11.1,1.4
72,Haiti,0.01,13.3,20.0
73,Honduras,0.03,6.7,4.8
74,Hungary,0.19,3.8,2.4
75,Iceland,0.03,5.4,3.1
76,India,3.73,7.2,4.5
77,Indonesia,1.12,5.3,3.4
78,Iran,0.42,11.2,22.0
79,Iraq,0.23,14.0,4.8
80,Ireland,0.47,4.7,0.3
81,Israel,0.41,4.1,1.5
82,Italy,2.1,7.9,4.1
83,Jamaica,0.015,8.5,5.7
84,Japan,4.37,2.6,3.0
85,Jordan,0.04,18.5,2.0
86,Kazakhstan,0.22,4.9,6.8
87,Kenya,0.09,12.2,5.2
88,Kiribati,0.001,30.6,1.9
89,"Korea, North",0.04,2.5,15.0
90,"Korea, South",1.81,2.9,2.8
91,Kosovo,0.008,25.0,2.3
92,Kuwait,0.12,2.2,2.1
93,Kyrgyzstan,0.008,7.6,8.0
94,Laos,0.019,9.4,3.5
95,Latvia,0.04,6.3,2.4
96,Lebanon,0.04,6.9,84.9
97,Lesotho,0.002,24.6,6.6
98,Liberia,0.003,4.6,10.5
99,Libya,0.03,18.6,24.2
100,Liechtenstein,0.006,2.4,1.2
101,Lithuania,0.07,6.6,2.0
102,Luxembourg,0.08,5.4,1.9
103,Madagascar,0.012,2.7,6.4
104,Malawi,0.008,6.6,8.5
105,Malaysia,0.37,3.6,1.4
106,Maldives,0.005,6.3,1.8
107,Mali,0.017,7.1,1.0
108,Malta,0.016,3.4,0.7
109,Marshall Islands,0.001,11.0,0.9
110,Mauritania,0.008,10.0,2.5
111,Mauritius,0.015,6.9,2.0
112,Mexico,1.33,3.5,3.0
113,Micronesia,0.001,16.0,0.8
114,Moldova,0.01,3.0,7.0
115,Monaco,0.006,2.0,1.0
116,Mongolia,0.013,7.3,8.5
117,Montenegro,0.005,15.7,2.5
118,Morocco,0.13,9.2,1.7
119,Mozambique,0.016,3.3,6.5
120,Myanmar,0.07,2.5,7.5
121,Namibia,0.014,19.6,4.1
122,Nauru,0.001,23.0,0.9
123,Nepal,0.035,3.0,3.7
124,Netherlands,1.0,3.2,2.1
125,New Zealand,0.25,4.0,1.9
126,Nicaragua,0.013,5.6,4.2
127,Niger,0.014,0.4,3.6
128,Nigeria,0.45,7.8,15.6
129,North Macedonia,0.012,16.0,2.2
130,Norway,0.41,4.1,1.8
131,Oman,0.09,3.0,1.3
132,Pakistan,0.31,6.5,8.8
133,Palau,0.001,3.5,0.8
134,Panama,0.06,5.7,1.7
135,Papua New Guinea,0.024,2.7,4.5
136,Paraguay,0.04,5.8,2.7
137,Peru,0.22,6.6,2.1
138,Philippines,0.37,5.1,2.6
139,Poland,0.73,3.5,2.1
140,Portugal,0.25,6.6,0.6
141,Qatar,0.17,0.6,1.1
142,Romania,0.24,5.0,2.3
143,Russia,1.48,4.6,4.9
144,Rwanda,0.01,1.0,5.7
145,Saint Kitts and Nevis,0.001,10.0,0.8
146,Saint Lucia,0.002,20.0,3.5
147,Saint Vincent and the Grenadines,0.001,18.0,2.5
148,Samoa,0.001,8.0,3.5
149,San Marino,0.002,8.4,0.8
150,Sao Tome and Principe,0.001,12.2,6.3
151,Saudi Arabia,0.79,5.9,2.2
152,Senegal,0.025,9.3,2.4
153,Serbia,0.05,11.3,1.5
154,Seychelles,0.002,4.3,2.0
155,Sierra Leone,0.004,4.3,13.5
156,Singapore,0.39,2.3,0.6
157,Slovakia,0.13,5.0,1.5
158,Slovenia,0.06,4.5,1.8
159,Solomon Islands,0.001,7.0,3.5
160,Somalia,0.007,14.0,6.0
161,South Africa,0.42,29.2,4.5
162,South Sudan,0.004,12.0,8.1
163,Spain,1.39,14.1,1.0
164,Sri Lanka,0.08,4.3,5.6
165,Sudan,0.03,22.7,34.2
166,Suriname,0.003,11.4,45.0
167,Sweden,0.61,7.1,1.5
168,Switzerland,0.84,4.7,0.8
169,Syria,0.02,50.0,30.0
170,Taiwan,0.67,3.7,1.3
171,Tajikistan,0.008,2.4,7.8
172,Tanzania,0.06,2.2,3.6
173,Thailand,0.51,1.0,1.5
174,Timor-Leste,0.002,10.0,4.2
175,Togo,0.007,6.7,1.8
176,Tonga,0.001,13.0,3.0
177,Trinidad and Tobago,0.022,4.5,1.0
178,Tunisia,0.04,16.0,6.3
179,Turkey,0.76,13.4,11.1
180,Turkmenistan,0.045,4.0,9.0
181,Tuvalu,0.001,8.0,2.0
182,Uganda,0.035,2.8,3.8
183,Ukraine,0.14,9.1,7.5
184,United Arab Emirates,0.42,2.4,1.2
185,United Kingdom,3.13,4.0,4.2
186,United States,26.84,3.7,3.4
187,Uruguay,0.06,9.4,7.4
188,Uzbekistan,0.05,5.9,10.5
189,Vanuatu,0.001,5.3,2.8
190,Venezuela,0.009,20.8,2000.0
191,Vietnam,0.26,2.2,3.4
192,Yemen,0.027,27.0,26.0
193,Zambia,0.018,12.2,19.2
194,Zimbabwe,0.02,5.0,540.0
